edges h_den h_den_train h_den_val h_den_test h_edge h_node h_norm degree density train_acc test_acc val_acc train_acc_std test_acc_std val_acc_std
2 0.5 0.5 0.5 0.5 1.0 0.0008783487137407064 0.2075098752975464 0.000878348704435661 1.0 0.9388278388278388 0.4837719298245614 0.5102880658436215 0.008123902972973185 0.00912133085223043 0.002909904449327356
2002 0.5003506541252136 0.5004176497459412 0.5001521706581116 0.5001262426376343 0.7192807197570801 0.205542653799057 0.6326136589050293 0.8792270531400966 0.004247987404568814 0.9161172161172161 0.5706140350877194 0.5536351165980795 0.005040790822169537 0.008408021716088074 0.0031579874988261454
4002 0.5007014274597168 0.5006728172302246 0.5005214214324951 0.5005070567131042 0.677161455154419 0.3140673041343689 0.5915848016738892 1.7575757575757576 0.003390140637468424 0.88992673992674 0.5903508771929824 0.5772290809327847 0.011518093541047722 0.005460482279819632 0.002254002294259919
6002 0.5009516477584839 0.5010482668876648 0.5007213950157166 0.5006857514381409 0.6794402003288269 0.3894493579864502 0.5902419686317444 2.6359244620114186 0.003295719737528485 0.8789377289377288 0.6214912280701753 0.5925925925925927 0.00835293351720978 0.004274909800354802 0.0034972698995835165
8002 0.501284122467041 0.5013265609741211 0.5010663270950317 0.5008478164672852 0.6920769810676575 0.4752212464809418 0.6019623279571533 3.5142731664470794 0.0030622960255209195 0.9023809523809524 0.6162280701754386 0.6315500685871056 0.02915771623612663 0.016115064097257728 0.007034777176931714
10002 0.501672089099884 0.5016036033630371 0.5015522241592407 0.5014132261276245 0.7150569558143616 0.5365579724311829 0.622800350189209 4.39262187088274 0.003099077527133195 0.932967032967033 0.6311403508771929 0.653772290809328 0.00445811774528866 0.006279746080384363 0.003706243096325436
12002 0.5019340515136719 0.5017222762107849 0.5022138357162476 0.5016337037086487 0.7313781380653381 0.5542693734169006 0.6300716400146484 5.270970575318401 0.003434019164356243 0.9186813186813187 0.6311403508771931 0.6526748971193416 0.016488603203737438 0.017225734111101322 0.0052593386866065526
14002 0.5021872520446777 0.501811146736145 0.5026488900184631 0.5020238757133484 0.7458934783935547 0.561953067779541 0.6336003541946411 6.149319279754063 0.00382413459905033 0.9108058608058608 0.6390350877192983 0.650480109739369 0.03149437683326263 0.013834921311918883 0.004487085660849424
16002 0.5024431347846985 0.5019330382347107 0.5029439926147461 0.5019996166229248 0.7560304999351501 0.5667295455932617 0.634650468826294 7.027667984189724 0.004258363045008998 0.9298534798534799 0.6425438596491229 0.6548696844993142 0.006779031327224059 0.0046520182972799055 0.004810885573868322
18002 0.5026397109031677 0.5021114349365234 0.5031169652938843 0.5021035671234131 0.7606932520866394 0.5688864588737488 0.6310185194015503 7.906016688625384 0.004693249406500262 0.8531135531135531 0.6355263157894738 0.6455418381344308 0.03097079886388632 0.010676018811086043 0.002844504986739058
20002 0.5028998851776123 0.5022491812705994 0.5035082101821899 0.502519965171814 0.7602239847183228 0.5725346207618713 0.6238597631454468 8.784365393061044 0.0050789185016657185 0.8961538461538462 0.6381578947368421 0.6534979423868312 0.01716391821689132 0.00743676533237418 0.0058681068960788705
22002 0.5030493140220642 0.5025011897087097 0.5037127733230591 0.5027687549591064 0.7562040090560913 0.5753280520439148 0.6140117645263672 9.662714097496707 0.005459477486168927 0.8626373626373626 0.631578947368421 0.6463648834019204 0.04582416118387108 0.005142999736648501 0.0042722665301502
24002 0.5032938122749329 0.5026434659957886 0.5038274526596069 0.5030022263526917 0.7467710971832275 0.5790589451789856 0.6005309820175171 10.541062801932368 0.005798719073055356 0.881868131868132 0.6355263157894736 0.6482853223593964 0.018234714058369874 0.0076597584195495436 0.003005336392346572
26002 0.5035355687141418 0.5028517246246338 0.5042903423309326 0.5030100345611572 0.7322513461112976 0.5805248022079468 0.5865421295166016 11.419411506368029 0.006124371711347588 0.874908424908425 0.6368421052631579 0.6524005486968449 0.03457854116156896 0.003983750465917759 0.005452567054691841
28002 0.5037779808044434 0.5029482841491699 0.5045780539512634 0.5032916069030762 0.7163773775100708 0.5819222927093506 0.5726890563964844 12.29776021080369 0.0064941932144238716 0.8912087912087913 0.626315789473684 0.6584362139917694 0.013101960415003234 0.009880596777253345 0.003756670490433251
30002 0.5039209127426147 0.5030685067176819 0.5051121115684509 0.5034546256065369 0.6982201337814331 0.5783159732818604 0.5563355684280396 13.17610891523935 0.006845486227571689 0.8917582417582418 0.6368421052631579 0.650480109739369 0.014955084439000276 0.014596106396748876 0.006241049748190577
32002 0.5040686726570129 0.5032972097396851 0.5053408145904541 0.5035277605056763 0.6810199618339539 0.5789583325386047 0.5419190526008606 14.054457619675011 0.007198299867829479 0.8976190476190476 0.6442982456140351 0.658161865569273 0.008551368153793964 0.017015056790588453 0.0020346223558561595
34002 0.5041824579238892 0.5032917261123657 0.5056727528572083 0.5038492679595947 0.6628434062004089 0.5743345618247986 0.5246124267578125 14.932806324110672 0.0076120210921174995 0.8791208791208792 0.6416666666666666 0.6540466392318244 0.006507632968659269 0.009121330852230458 0.007963196309300423
36002 0.5043354034423828 0.5034347176551819 0.5058394074440002 0.503882110118866 0.645908534526825 0.5732765793800354 0.508859395980835 15.811155028546333 0.00797651489974521 0.8804029304029305 0.6412280701754386 0.654869684499314 0.010209698704885526 0.009758155904073237 0.003706243096325475
38002 0.5044544339179993 0.5034475922584534 0.5060173273086548 0.5040878653526306 0.6290721893310547 0.569625973701477 0.4918346405029297 16.689503732981994 0.008333114052399372 0.8686813186813186 0.650877192982456 0.6532235939643347 0.012279260287078196 0.011224985870236605 0.005435284706765173
40002 0.5045800805091858 0.5035282373428345 0.5062256455421448 0.5041682124137878 0.6137192845344543 0.5699817538261414 0.4762101471424103 17.567852437417656 0.008673919435460158 0.8587912087912087 0.6482456140350877 0.6474622770919067 0.024136595434498344 0.015240833643766704 0.003879872599103137
