edges h_den h_edge h_node h_norm degree density acc std
2 0.4999449849128723 0.0 0.0 0.0 0.01092896174863388 1.0 0.7567567567567568 0.02702702702702703
42 0.49898990988731384 0.095238097012043 0.011449389159679413 0.018888097256422043 0.22950819672131148 0.09090909090909091 0.7675675675675675 0.024173707864862597
82 0.49853867292404175 0.2195121943950653 0.03805620223283768 0.04893925040960312 0.44808743169398907 0.10098522167487685 0.7837837837837838 0.0
122 0.4981364905834198 0.2295081913471222 0.04624859243631363 0.04832649976015091 0.6666666666666666 0.0915915915915916 0.7405405405405406 0.024173707864862594
162 0.49787813425064087 0.23456791043281555 0.04515404254198074 0.036813344806432724 0.8852459016393442 0.11522048364153627 0.7567567567567567 0.019110994086122907
202 0.4969090223312378 0.19801980257034302 0.04455077275633812 0.03186144679784775 1.1038251366120218 0.13630229419703105 0.7189189189189189 0.024173707864862594
242 0.49638864398002625 0.1983470916748047 0.04674355685710907 0.03511132672429085 1.3224043715846994 0.15512820512820513 0.681081081081081 0.0400875593897063
282 0.4966958463191986 0.21985815465450287 0.05112200602889061 0.0479738749563694 1.540983606557377 0.18076923076923077 0.7243243243243243 0.03523893192001429
322 0.4957004189491272 0.22360248863697052 0.056328870356082916 0.055367786437273026 1.7595628415300546 0.18699186991869918 0.7135135135135134 0.040988515913792135
362 0.4956335723400116 0.23756906390190125 0.05967121198773384 0.058885104954242706 1.9781420765027322 0.20044296788482835 0.7189189189189189 0.014803312365004461
402 0.49903643131256104 0.2636815905570984 0.06823637336492538 0.05347385257482529 2.19672131147541 0.22259136212624583 0.7081081081081081 0.022612433149569604
442 0.49880746006965637 0.25339367985725403 0.06538956612348557 0.047431278973817825 2.4153005464480874 0.2135265700483092 0.7189189189189189 0.014803312365004461
482 0.4984164834022522 0.24481329321861267 0.06123025715351105 0.04357597976922989 2.633879781420765 0.20493197278911565 0.6972972972972974 0.012086853932431321
522 0.49820953607559204 0.24521072208881378 0.07018984109163284 0.04517389461398125 2.8524590163934427 0.19683257918552036 0.6702702702702703 0.029606624730009
562 0.49784448742866516 0.23843416571617126 0.06957247108221054 0.04229443520307541 3.07103825136612 0.20391872278664733 0.6702702702702702 0.01208685393243127
602 0.4975155293941498 0.22923587262630463 0.06484416127204895 0.034581635147333145 3.289617486338798 0.2103424178895877 0.681081081081081 0.04834741572972514
642 0.49724650382995605 0.2274143248796463 0.06287191808223724 0.03738684579730034 3.5081967213114753 0.22431865828092243 0.6594594594594594 0.024173707864862587
682 0.4968715012073517 0.22580644488334656 0.06016775965690613 0.03851495683193207 3.726775956284153 0.22962962962962963 0.6756756756756757 0.0331012127403132
722 0.4964294731616974 0.22160664200782776 0.057772185653448105 0.03860003501176834 3.9453551912568305 0.2344155844155844 0.681081081081081 0.0352389319200143
762 0.49635156989097595 0.22309711575508118 0.060390762984752655 0.03855978697538376 4.163934426229508 0.23049001814882034 0.7297297297297296 0.027027027027026973
802 0.49624863266944885 0.22443890571594238 0.06039820611476898 0.04057219251990318 4.382513661202186 0.23436586791350086 0.7297297297297297 0.027027027027026973
842 0.49624380469322205 0.22802850604057312 0.062188174575567245 0.04083283245563507 4.601092896174864 0.23785310734463277 0.6972972972972972 0.035238931920014295
882 0.49642711877822876 0.23356010019779205 0.06364435702562332 0.040197715163230896 4.819672131147541 0.24915254237288137 0.7135135135135136 0.030815552029706404
922 0.49648433923721313 0.23861171305179596 0.07052373886108398 0.042100537568330765 5.038251366120218 0.25191256830601094 0.6864864864864865 0.024173707864862594
962 0.496211439371109 0.234927237033844 0.06634093075990677 0.03824092075228691 5.256830601092896 0.254362771020624 0.664864864864865 0.01480331236500446
1002 0.49597448110580444 0.23353293538093567 0.06645594537258148 0.03875069320201874 5.475409836065574 0.2565284178187404 0.6594594594594595 0.024173707864862587
1042 0.4955734312534332 0.236084446310997 0.06696876138448715 0.04536734148859978 5.693989071038251 0.2584325396825397 0.6648648648648648 0.024173707864862587
1082 0.4954635500907898 0.23844732344150543 0.07139512151479721 0.048014502972364426 5.912568306010929 0.26009615384615387 0.6486486486486486 0.02702702702702703
1122 0.49518758058547974 0.23351158201694489 0.07113175839185715 0.044108279049396515 6.131147540983607 0.26153846153846155 0.654054054054054 0.04008755938970628
1162 0.4951036274433136 0.23407916724681854 0.07604381442070007 0.04507974535226822 6.3497267759562845 0.26277702397105385 0.654054054054054 0.022612433149569604
1202 0.49524182081222534 0.2346089780330658 0.07766497135162354 0.0434514582157135 6.5683060109289615 0.25618073316283035 0.6702702702702703 0.03523893192001434
1242 0.4951699376106262 0.23671497404575348 0.0862133800983429 0.045349739491939545 6.786885245901639 0.2571428571428571 0.627027027027027 0.01208685393243132
1282 0.49491190910339355 0.23400935530662537 0.08633159101009369 0.04393928125500679 7.005464480874317 0.265424430641822 0.6324324324324324 0.01480331236500452
1322 0.49475395679473877 0.23298032581806183 0.08577626943588257 0.0429428368806839 7.224043715846994 0.2659959758551308 0.6432432432432432 0.0352389319200143
1362 0.4944969713687897 0.23201175034046173 0.08429482579231262 0.0427076555788517 7.442622950819672 0.2740442655935614 0.6378378378378379 0.030815552029706424
1402 0.49431702494621277 0.23395150899887085 0.08539141714572906 0.045573893934488297 7.66120218579235 0.28209255533199196 0.654054054054054 0.022612433149569604
1442 0.49390798807144165 0.23162275552749634 0.08371037244796753 0.04519068822264671 7.879781420765028 0.2820813771517997 0.6378378378378378 0.030815552029706424
1482 0.4936210811138153 0.23076921701431274 0.08265934139490128 0.04383455589413643 8.098360655737705 0.2819634703196347 0.6324324324324324 0.01480331236500452
1522 0.4935411810874939 0.23258869349956512 0.08436498790979385 0.045188166201114655 8.316939890710383 0.2895738203957382 0.664864864864865 0.062220888828223436
1562 0.4934422969818115 0.23175416886806488 0.08748389780521393 0.043897952884435654 8.53551912568306 0.28144144144144145 0.664864864864865 0.0409885159137922
1602 0.4932323098182678 0.2297128587961197 0.09021062403917313 0.04250907525420189 8.754098360655737 0.2810526315789474 0.6486486486486486 0.02702702702702703
1642 0.49318042397499084 0.23020707070827484 0.09074089676141739 0.04243240877985954 8.972677595628415 0.2880701754385965 0.6324324324324324 0.024173707864862594
1682 0.4930395483970642 0.22948870062828064 0.089983731508255 0.0417403019964695 9.191256830601093 0.2950877192982456 0.6594594594594595 0.024173707864862587
1722 0.49316179752349854 0.23228803277015686 0.09755340963602066 0.041770871728658676 9.40983606557377 0.3021052631578947 0.6378378378378378 0.03626056179729387
1762 0.49291083216667175 0.2315550595521927 0.09915784001350403 0.041877564042806625 9.628415300546449 0.2933732933732934 0.654054054054054 0.02960662473000898
1802 0.49282193183898926 0.23529411852359772 0.1008167564868927 0.0452149361371994 9.846994535519126 0.29243752028562153 0.6486486486486487 0.02702702702702703
1842 0.49274805188179016 0.2388707995414734 0.10244210809469223 0.04829425364732742 10.065573770491802 0.29892891918208375 0.6378378378378378 0.04522486629913922
1882 0.49257513880729675 0.23698192834854126 0.10131914913654327 0.04654384404420853 10.28415300546448 0.3054203180785459 0.6324324324324324 0.024173707864862594
1922 0.49252524971961975 0.23517170548439026 0.10069213807582855 0.04439743980765343 10.502732240437158 0.31191171697500814 0.6162162162162161 0.01208685393243127
1962 0.49226027727127075 0.23445463180541992 0.10308635234832764 0.04429665580391884 10.721311475409836 0.30277777777777776 0.6432432432432432 0.022612433149569615
2002 0.49208933115005493 0.23576423525810242 0.10368283092975616 0.045741207897663116 10.939890710382514 0.3089506172839506 0.6756756756756757 0.0
2042 0.4918934106826782 0.2370225191116333 0.10791894048452377 0.04727892577648163 11.158469945355192 0.30743751881963266 0.6918918918918919 0.024173707864862597
2082 0.4919615387916565 0.24207492172718048 0.1124928891658783 0.05181630700826645 11.37704918032787 0.3134598012646793 0.627027027027027 0.01208685393243132
2122 0.49172157049179077 0.24410933256149292 0.11364370584487915 0.054904524236917496 11.595628415300547 0.319482083709726 0.6378378378378378 0.0526853748368052
2162 0.49161669611930847 0.24514338374137878 0.11479149013757706 0.055724844336509705 11.814207650273223 0.3255043661547727 0.6270270270270271 0.022612433149569615
2202 0.49175792932510376 0.24795641005039215 0.1168745905160904 0.056291498243808746 12.032786885245901 0.323538054657655 0.6216216216216217 0.046812183988348036
2242 0.49152296781539917 0.24531666934490204 0.11486072838306427 0.0542832612991333 12.251366120218579 0.329415221863062 0.6216216216216217 0.0331012127403132
2282 0.49126601219177246 0.24539877474308014 0.1199670359492302 0.05524423345923424 12.469945355191257 0.3196078431372549 0.6432432432432432 0.04834741572972519
2322 0.4912881851196289 0.2497846782207489 0.11992891132831573 0.05887892469763756 12.688524590163935 0.32521008403361346 0.6108108108108108 0.014803312365004461
2362 0.49114835262298584 0.2523285150527954 0.12311026453971863 0.060662515461444855 12.907103825136613 0.330812324929972 0.6324324324324324 0.024173707864862597
2402 0.49096444249153137 0.25312238931655884 0.12415750324726105 0.06143853813409805 13.12568306010929 0.33641456582633056 0.6270270270270271 0.022612433149569615
2442 0.4907495379447937 0.2522522509098053 0.11970040202140808 0.06054241955280304 13.344262295081966 0.3420168067226891 0.6378378378378378 0.01480331236500452
2482 0.4905516505241394 0.2522159516811371 0.11980778723955154 0.060733307152986526 13.562841530054644 0.3395348837209302 0.6108108108108109 0.024173707864862587
2522 0.4902866780757904 0.2513877749443054 0.11907042562961578 0.06014607846736908 13.781420765027322 0.3450068399452804 0.6270270270270271 0.02960662473000898
2562 0.4903748631477356 0.25292739272117615 0.12004867941141129 0.06087946519255638 14.0 0.3504787961696306 0.6 0.029606624730009
2602 0.49023696780204773 0.25518831610679626 0.12093599140644073 0.06264801323413849 14.218579234972678 0.34776797647687785 0.6216216216216216 0.019110994086122907
2642 0.4901230037212372 0.2551097571849823 0.12114329636096954 0.06251953542232513 14.437158469945356 0.35311414060411656 0.6216216216216216 0.019110994086122907
2682 0.49004223942756653 0.25503355264663696 0.12293322384357452 0.06131082773208618 14.655737704918034 0.3503134796238245 0.6162162162162164 0.029606624730008982
2722 0.4899563491344452 0.2549595832824707 0.12301656603813171 0.06099438667297363 14.87431693989071 0.3475485188968335 0.6432432432432431 0.022612433149569615
