edges h_den h_edge h_node h_norm degree density acc std
2 0.4999879002571106 0.0 0.0 0.0 0.00796812749003984 1.0 0.8588235294117647 0.01240108886340546
22 0.4999205470085144 0.6363636255264282 0.02954847551882267 0.19132043421268463 0.08764940239043825 0.14102564102564102 0.8549019607843137 0.01894297613880976
42 0.49986758828163147 0.6666666865348816 0.05179283022880554 0.2062973827123642 0.16733067729083664 0.1 0.8411764705882352 0.019498606392387326
62 0.4998410940170288 0.7419354915618896 0.07569721341133118 0.2227489948272705 0.24701195219123506 0.08831908831908832 
