edges h_den h_den_train h_den_val h_den_test h_edge h_node h_norm degree density train_acc test_acc val_acc train_acc_std test_acc_std val_acc_std
2 0.5 0.5 0.5 0.5 1.0 0.00038454143214039505 0.20000961422920227 0.0003845414343395501 1.0 0.9865384615384617 0.3423631123919308 0.3451923076923077 0.00045680105172241916 0.00764277590044808 0.003999894541416762
2002 0.5000517964363098 0.5000565648078918 0.5000449419021606 0.5000815987586975 0.8731268644332886 0.14085432887077332 0.7948036789894104 0.38492597577388965 0.0025647858237292653 0.9768429487179487 0.3763688760806917 0.40204326923076916 0.0006583203816167535 0.006669185382405284 0.0037769847025169675
4002 0.5000938177108765 0.5001379251480103 0.500072717666626 0.5001929402351379 0.8730635046958923 0.22817271947860718 0.7909990549087524 0.7694674101134398 0.001850747096935307 0.9729967948717949 0.4220941402497599 0.4438701923076923 0.000607602199042601 0.009303592709166747 0.0037433681496147455
6002 0.5002689957618713 0.5002862811088562 0.5002734661102295 0.5003145337104797 0.8573809266090393 0.2982054650783539 0.8076774477958679 1.15400884445299 0.0015255681356042491 0.9654647435897437 0.44879923150816525 0.46670673076923075 0.002648476583499724 0.0021905387609973794 0.002773553067118847
8002 0.5004536509513855 0.5003891587257385 0.5004265904426575 0.5003519058227539 0.8352912068367004 0.34971481561660767 0.7864841818809509 1.5385502787925398 0.0013851930788123276 0.9573717948717949 0.4695485110470702 0.4927884615384615 0.0036784868369032445 0.004041437842067766 0.0025848333134142545
10002 0.5004767179489136 0.5004329681396484 0.5004517436027527 0.5003729462623596 0.8224354982376099 0.37894225120544434 0.754043459892273 1.92309171313209 0.0013776233311708973 0.9574519230769232 0.47819404418828054 0.5123798076923076 0.0009565173386468555 0.002833406571326148 0.0016237086641954493
12002 0.5004993081092834 0.5004375576972961 0.5005035400390625 0.5004174709320068 0.8180303573608398 0.3999696671962738 0.7312477231025696 2.3076331474716403 0.0014355133712532766 0.9513621794871794 0.5020172910662823 0.5180288461538461 0.003162273599466581 0.006536417228128326 0.0012748319372353773
14002 0.5005528926849365 0.5004772543907166 0.5005669593811035 0.5004833340644836 0.7877446413040161 0.42981278896331787 0.6867985725402832 2.69217458181119 0.0013618447325825973 0.9411858974358974 0.5048991354466859 0.5295673076923078 0.005815508392359516 0.007334720141717999 0.005909624888913219
16002 0.5005902051925659 0.5004826188087463 0.5006386041641235 0.5004836916923523 0.7582802176475525 0.4572541117668152 0.6474801898002625 3.07671601615074 0.001313405982965612 0.9367788461538462 0.5187319884726225 0.5371394230769231 0.00511817930213822 0.002800649325093828 0.0008913700104682255
18002 0.5006211996078491 0.500504732131958 0.5006599426269531 0.500486433506012 0.732140839099884 0.4827849268913269 0.616972029209137 3.46125745049029 0.0012743586051627593 0.9363782051282051 0.5437079731027858 0.5524038461538462 0.010445134915391169 0.008483920140564696 0.0010750326814902736
20002 0.5006471276283264 0.5005199909210205 0.5006991028785706 0.5004965662956238 0.6994300484657288 0.49172574281692505 0.5785442590713501 3.8457988848298403 0.0012947258789176915 0.923076923076923 0.5467819404418828 0.5662259615384615 0.003363953450269779 0.009323408690529045 0.002141650202067963
22002 0.5006542205810547 0.5005287528038025 0.5007539987564087 0.5004833340644836 0.666939377784729 0.4970642030239105 0.5404388904571533 4.2303403191693905 0.0013239978307665757 0.9290865384615385 0.5659942363112392 0.56875 0.00375834596139698 0.006973560581318543 0.002020160614660043
24002 0.5006733536720276 0.5005313158035278 0.5007575154304504 0.5004602670669556 0.6381968259811401 0.4976373612880707 0.5079569220542908 4.614881753508941 0.0013879506546012918 0.9125801282051281 0.5640730067243036 0.5655048076923077 0.013842132940917849 0.004263658217324102 0.0007360245621343545
26002 0.5006792545318604 0.5005283355712891 0.5007653832435608 0.5005399584770203 0.6144142746925354 0.49852046370506287 0.4798099398612976 4.999423187848491 0.0014590600717286097 0.9128205128205128 0.5611911623439002 0.5674278846153845 0.007068788364573483 0.006493926524939717 0.0015555503732625855
28002 0.5006786584854126 0.5005237460136414 0.5007497072219849 0.5005353689193726 0.5906720757484436 0.4962344765663147 0.4520159959793091 5.38396462218804 0.0015412045172119885 0.9117788461538462 0.5606147934678194 0.5723557692307693 0.006664383777647115 0.005155199948126329 0.004044788141938416
30002 0.500678539276123 0.5005196332931519 0.5007671117782593 0.5005401372909546 0.5712952613830566 0.49729225039482117 0.4287509322166443 5.768506056527591 0.0016154608683384855 0.908173076923077 0.5563880883765611 0.5717548076923078 0.006866056806495242 0.00781588688061786 0.003362163637187326
32002 0.5006713271141052 0.5005156993865967 0.5007545948028564 0.5005167126655579 0.5546528697013855 0.4954718351364136 0.40918105840682983 6.153047490867141 0.0016954989435582484 0.9011217948717949 0.5590778097982709 0.5712740384615385 0.01718885409464842 0.005391437156734752 0.0022725565386044542
34002 0.5006718635559082 0.5005093812942505 0.5007592439651489 0.5005258321762085 0.5381448268890381 0.4912738800048828 0.3891598582267761 6.537588925206691 0.0017874451142062932 0.8967147435897436 0.5552353506243997 0.5679086538461539 0.007656332811276474 0.0046567529850300585 0.0027209690919884123
36002 0.5006679892539978 0.5005091428756714 0.5007500648498535 0.500493586063385 0.5262485146522522 0.4905147850513458 0.3742644488811493 6.922130359546241 0.001869366380233338 0.9038461538461539 0.5590778097982709 0.5633413461538461 0.024302436812684357 0.007471829580261275 0.00379130055182392
38002 0.5006696581840515 0.5005160570144653 0.5007556080818176 0.5004794597625732 0.5132887959480286 0.4891398847103119 0.3586333096027374 7.3066717938857915 0.0019553511852303425 0.8932692307692307 0.5554274735830932 0.5625 0.011464215363127847 0.010855372208658306 0.003776984702516994
40002 0.5006716847419739 0.500541627407074 0.500739336013794 0.5004677176475525 0.5013249516487122 0.4882771670818329 0.3441872298717499 7.691213228225341 0.0020323604706955385 0.9013621794871796 0.5602305475504322 0.5667067307692307 0.015893384545029608 0.01260566739852006 0.0032916019080839244
42002 0.5006690621376038 0.5005232095718384 0.5007423162460327 0.5004657506942749 0.49202418327331543 0.48661383986473083 0.33235418796539307 8.075754662564892 0.0021167620928135822 0.8898237179487181 0.5586935638808838 0.5646634615384615 0.029341314162066246 0.012200186065980037 0.004568888896333719
44002 0.5006711483001709 0.5005361437797546 0.500748872756958 0.5004822015762329 0.4835689067840576 0.4854339361190796 0.32155704498291016 8.460296096904441 0.0021987585374163223 0.8999198717948719 0.5613832853025936 0.5686298076923076 0.014376817732313099 0.004972979483398564 0.004236672291349656
46002 0.5006633996963501 0.500540554523468 0.5007545948028564 0.5004706978797913 0.4759793281555176 0.4842977225780487 0.31145989894866943 8.844837531243991 0.0022874344753102075 0.8915064102564102 0.5613832853025936 0.5676682692307692 0.011980439538754339 0.0057476562158123344 0.002191656553943553
48002 0.5006633996963501 0.5005525946617126 0.5007445812225342 0.5005199313163757 0.46889713406562805 0.4831005334854126 0.30248019099235535 9.22937896558354 0.0023625873111903814 0.8983173076923077 0.5673390970220942 0.5651442307692307 0.013152380374234425 0.008139757988209342 0.002150065362980569
50002 0.5006582736968994 0.5005499720573425 0.5007476210594177 0.5005297064781189 0.4624614715576172 0.4823424518108368 0.2940654158592224 9.613920399923092 0.002446889931548545 0.8883012820512821 0.5536983669548511 0.5635817307692308 0.013176766008177129 0.002595438249011776 0.0008913700104682255
52002 0.5006550550460815 0.5005440711975098 0.5007472038269043 0.5005437135696411 0.45694398880004883 0.4809694290161133 0.28661221265792847 9.998461834262642 0.002536898748849658 0.8895032051282051 0.5538904899135446 0.5641826923076924 0.005689948925848462 0.004972979483398564 0.001231604659370137
54002 0.5006448030471802 0.5005295276641846 0.5007451772689819 0.5005528926849365 0.45042774081230164 0.4794138967990875 0.27795302867889404 10.383003268602192 0.0026205581970450906 0.910977564102564 0.5619596541786743 0.5713942307692308 0.006640254865056956 0.004349368462121698 0.0015555503732626026
56002 0.5006440281867981 0.500521183013916 0.5007456541061401 0.5005367398262024 0.4452698230743408 0.4786975681781769 0.27107539772987366 10.767544702941741 0.0027056785816952887 0.894951923076923 0.5569644572526418 0.565625 0.014426971518339956 0.010509845837931095 0.004279082480509094
58002 0.5006381869316101 0.5005233883857727 0.5007592439651489 0.5005202889442444 0.43991586565971375 0.47740423679351807 0.26418060064315796 11.152086137281293 0.002794929594296227 0.8899839743589743 0.5525456292026897 0.5625 0.02170979045127329 0.01057549198426349 0.005589265395955028
60002 0.5006372928619385 0.5005274415016174 0.5007518529891968 0.5005086064338684 0.4351854622364044 0.4766393005847931 0.25806424021720886 11.536627571620842 0.002886232360897858 0.886298076923077 0.550240153698367 0.5638221153846155 0.012799838097305265 0.01179250031848141 0.006844105037263436
62002 0.5006319284439087 0.5005427598953247 0.500737726688385 0.5004922747612 0.4303731918334961 0.4758290946483612 0.25189143419265747 11.921169005960392 0.0029719985412751263 0.8888621794871794 0.550624399615754 0.5650240384615385 0.02026031803125217 0.009876129231488884 0.007724167794740213
64002 0.5006291270256042 0.5005331039428711 0.5007511973381042 0.5004756450653076 0.4260179400444031 0.47445324063301086 0.24614179134368896 12.305710440299942 0.0030611606525348775 0.9004006410256411 0.5600384245917387 0.5649038461538463 0.007187013139900992 0.010075012950721936 0.0021247198953922744
66002 0.5006305575370789 0.5005309581756592 0.5007566213607788 0.5004685521125793 0.4229568839073181 0.4757147431373596 0.2420646697282791 12.690251874639493 0.003137576367958482 0.903525641025641 0.5590778097982708 0.5689903846153846 0.020174573128784287 0.006371997675994998 0.0048339128731226385
68002 0.5006284713745117 0.5005274415016174 0.5007683038711548 0.5005015730857849 0.4191935360431671 0.4754273593425751 0.23720254004001617 13.074793308979043 0.003224210300328253 0.896875 0.5586935638808839 0.5662259615384615 0.010062392676891418 0.005625955990142653 0.003640656545880027
70002 0.5006238222122192 0.5005211234092712 0.500758171081543 0.5004921555519104 0.41524526476860046 0.4744419455528259 0.23187462985515594 13.459334743318593 0.0033075040397645126 0.8852564102564102 0.5567723342939481 0.5622596153846153 0.03737961445658689 0.015631773761235715 0.00866302264533286
72002 0.500622034072876 0.5005184412002563 0.500785231590271 0.5004669427871704 0.41159969568252563 0.47355321049690247 0.2270837426185608 13.843876177658142 0.0033975688804925132 0.8910256410256409 0.5508165225744476 0.5673076923076923 0.025238794719970883 0.014530390317916623 0.006230901848956648
74002 0.5006161332130432 0.5005137324333191 0.5007814764976501 0.5004364848136902 0.40893489122390747 0.4732293486595154 0.2231537103652954 14.228417611997692 0.003484370103179769 0.8782852564102563 0.5467819404418828 0.5659855769230769 0.017929301396826334 0.008682810019962864 0.003565480041872888
76002 0.5006237626075745 0.5005204081535339 0.5007941126823425 0.5004175305366516 0.40675246715545654 0.47297370433807373 0.22012077271938324 14.612959046337243 0.003569239786020313 0.8952724358974358 0.5523535062439962 0.5689903846153845 0.014713947347612798 0.003657912154593646 0.0015555503732626026
78002 0.5006211996078491 0.5005127191543579 0.5007840991020203 0.5003939867019653 0.4033486247062683 0.4717404842376709 0.21547174453735352 14.997500480676793 0.0036568222223326533 0.901602564102564 0.5519692603266091 0.5693509615384615 0.008604926127348983 0.004052838253550236 0.002931805509050574
80002 0.5006195306777954 0.500514566898346 0.5007774233818054 0.5003752112388611 0.40053999423980713 0.47111400961875916 0.21158835291862488 15.382041915016343 0.003739241186712004 0.8854166666666666 0.5477425552353506 0.564423076923077 0.015368644053538947 0.008330252983161868 0.006450196088941697
82002 0.5006203055381775 0.5005241632461548 0.5007871985435486 0.5003567337989807 0.39767321944236755 0.4712730944156647 0.2079005241394043 15.766583349355892 0.0038211456670942516 0.8803685897435898 0.5462055715658021 0.5621394230769231 0.03052584908567459 0.00969221767963841 0.010230476653205122
84002 0.5006183981895447 0.5005312561988831 0.5007798075675964 0.5003542304039001 0.3954191505908966 0.4705309569835663 0.20455054938793182 16.151124783695444 0.0039042220460406506 0.8966346153846155 0.5554274735830933 0.5695913461538462 0.008479972150848072 0.005190876498023557 0.003046584580681858
86002 0.5006184577941895 0.5005252957344055 0.5008019804954529 0.5003281831741333 0.393014132976532 0.46970927715301514 0.20152096450328827 16.535666218034994 0.003995454579241959 0.8943910256410257 0.557732949087416 0.5679086538461539 0.013682345625401831 0.002504976908819455 0.0029132691450819096
88002 0.500612735748291 0.5005246996879578 0.5007930994033813 0.5003350973129272 0.3901502192020416 0.4688306450843811 0.19775483012199402 16.920207652374543 0.004081329399763251 0.8790064102564102 0.5533141210374641 0.5606971153846153 0.02343150673975116 0.012816199869477733 0.009192943834602396
90002 0.5006101131439209 0.5005229115486145 0.500778079032898 0.5003258585929871 0.38834691047668457 0.46807780861854553 0.19497039914131165 17.304749086714093 0.004165110184153015 0.8846153846153847 0.5596541786743516 0.5608173076923076 0.009535761406580077 0.0032998201800802608 0.002767034719524354
92002 0.500611424446106 0.5005195140838623 0.5007794499397278 0.5003144145011902 0.3869481384754181 0.46787774562835693 0.19289657473564148 17.689290521053643 0.004243049114255081 0.8810897435897436 0.5569644572526418 0.5587740384615384 0.010460490899741565 0.004626933555731887 0.00330255568846975
94002 0.5006086230278015 0.5005229711532593 0.5007807016372681 0.5002980828285217 0.38501307368278503 0.4672876000404358 0.19008897244930267 18.073831955393192 0.0043278487458253264 0.8619391025641026 0.5531219980787705 0.5536057692307692 0.013505228056947092 0.005699287982398237 0.002492360739582669
96002 0.5006005764007568 0.5005061030387878 0.5007646083831787 0.5003005266189575 0.38322120904922485 0.46632835268974304 0.187447652220726 18.458373389732742 0.004412351384989861 0.8686698717948718 0.5554274735830932 0.5578125 0.026182128589058152 0.012139525970739003 0.0065198095457286295
98002 0.5005985498428345 0.5004956722259521 0.5007641315460205 0.5002606511116028 0.38091057538986206 0.46572792530059814 0.18452246487140656 18.842914824072295 0.004498485143092056 0.8556891025641026 0.5490874159462055 0.5546875 0.03127618478907799 0.012572682603916564 0.009473487241847621
100002 0.5006004571914673 0.5004995465278625 0.5007636547088623 0.5003215670585632 0.37915241718292236 0.4652559459209442 0.18210799992084503 19.227456258411845 0.004582431528844547 0.8532051282051283 0.5494716618635926 0.5508413461538462 0.01754057473398986 0.005305168596151454 0.004893318025438074
102002 0.5006019473075867 0.5004978179931641 0.5007820725440979 0.5003286600112915 0.377718061208725 0.46507835388183594 0.18020963668823242 19.611997692751395 0.00466608417999753 0.8330128205128207 0.5423631123919307 0.5484375 0.0068132537402184135 0.0025954382490117676 0.003280611553835634
104002 0.5006016492843628 0.5005082488059998 0.5007782578468323 0.5003122091293335 0.3760504722595215 0.46452564001083374 0.17786765098571777 19.996539127090944 0.004753506626397927 0.8685096153846154 0.5542747358309318 0.551923076923077 0.019055524976590497 0.00702629146893746 0.0037191702997033354
