GNN	Method	Dataset	Acc	Std
GCN	Original	Cora	71.1	0.7
GCN	GDC	Cora	69.2	0.1
GCN	Ours	Cora	71.7	0.6
GAT	Original	Cora	70.8	0.5
GAT	GDC	Cora	67.7	0.8
GAT	Ours	Cora	72.1	0.7
APPNP	Original	Cora	71.8	0.5
APPNP	GDC	Cora	71.2	0.4
APPNP	Ours	Cora	72.2	0.5
SGC	Original	Cora	71.3	0.2
SGC	GDC	Cora	68.8	0.2
SGC	Ours	Cora	69.7	0.5
CHEV	Original	Cora	70.2	1.0
CHEV	GDC	Cora	69.3	0.8
CHEV	Ours	Cora	71.0	0.6
ARMA	Original	Cora	72.3	1.1
ARMA	GDC	Cora	71.1	0.5
ARMA	Ours	Cora	71.2	1.0
