GNN	Method	Dataset	Acc	Std
GCN	Original	Cora	81.5	0.6
GCN	GDC	Cora	81.2	0.2
GCN	Ours	Cora	82.0	0.9
GAT	Original	Cora	83.1	0.4
GAT	GDC	Cora	77.9	0.7
GAT	Ours	Cora	81.2	0.8
APPNP	Original	Cora	83.3	0.5
APPNP	GDC	Cora	81.4	0.7
APPNP	Ours	Cora	82.1	0.8
SGC	Original	Cora	81.7	0.1
SGC	GDC	Cora	80.5	0.7
SGC	Ours	Cora	76.8	0.8
CHEV	Original	Cora	81.4	0.7
CHEV	GDC	Cora	81.2	0.5
CHEV	Ours	Cora	81.2	0.6
ARMA	Original	Cora	82.8	0.6
ARMA	GDC	Cora	82.2	0.2
ARMA	Ours	Cora	82.4	0.6
